firstName,lastName,wiId,averageScore,minutesPlayed,role
Francisco Javier ,García Fernández,70120,24.97,2403,Midfielder
Leon,Bailey Butler,388267,42.57999999999999,2220,Forward
László,Kleinheisler,74943,5.16,169,Midfielder
Alejandro,Pozo Pozo,396513,0,0,Midfielder
Ivan,Santini,15004,36.96,2777,Forward
David Ángel,Abraham,49856,38.47999999999999,2296,Defender
Gian-Luca,Waldschmidt,258254,15.139999999999997,806,Forward
Nemanja,Nikolić,74958,0,24,Forward
Jean-François,Gillet,20667,0,0,Goalkeeper
Duván Esteban,Zapata Banguera,86243,45.919999999999995,2113,Forward
Davide,Di Gennaro,20972,0,0,Midfielder
Jordan,Amavi,214628,38.04,2188,Defender
Ali,Al Bulayhi,398219,0,90,Defender
Daley,Blind,38,1.27,347,Defender
Nicola,Rigoni,21148,3.64,897,Midfielder
Papiss Mison,Djilobodji,25524,32.98,2700,Defender
Lewis,Dunk,9097,44.22,3420,Defender
Leandro,Chichizola,86319,0,0,Goalkeeper
Leonardo,Spinazzola,190167,9.43,1505,Midfielder
Marco,Verratti,21383,24.7,1744,Midfielder
Norberto,Murara Neto,20922,0,0,Goalkeeper
David,Olatukunbo Alaba,14724,21.66,1787,Defender
Leandro Daniel,Cabrera Sasía,3885,5.68,1059,Defender
Cédric,Varrault,26374,14.12,885,Defender
Abdoul Razzagui,Camara,25474,13.51,893,Midfielder
Matías Nahuel,Leiva Esquivel,254188,1.9,250,Midfielder
Erik,Durm,18706,0,0,Defender
Seybou,Koita,274345,2.31,183,Forward
Daniel,Wass,26652,29.950000000000003,2932,Midfielder
Sébastien,Salles Lamonge,271888,0,0,Midfielder
Alexandre,Olliero,366573,0,0,Goalkeeper
Matías Agustín,Silvestre,20811,39.61999999999999,3060,Defender
Steven,Defour,70092,17.020000000000003,2012,Midfielder
Aron Einar,Gunnarsson,77521,3.88,679,Midfielder
Alexandre,Letellier,26245,0,0,Goalkeeper
Léo,Dubois,242446,11.530000000000001,3028,Defender
Vincenzo,Pinto,486945,0,0,Forward
Christopher,Jullien,144884,44.56,2607,Defender
Adrien,Rabiot,209117,57.09000000000001,2366,Midfielder
Philipp,Bargfrede,14692,15.620000000000003,1857,Midfielder
Federico,Mattiello,146590,14.100000000000001,2217,Defender
Fouad,Chafik,29748,9.34,1599,Defender
Javier,Manquillo Gaitán,3436,9.219999999999997,1759,Defender
Sergej,Milinković-Savić,265865,70.82,3118,Midfielder
José,Holebas,92899,4.48,2387,Defender
Ledian,Memushaj,22323,9.899999999999999,1442,Midfielder
Nicholas,Pierini,415348,0.1,39,Forward
Chris,Wood,9206,38.1,1619,Forward
Théodore,Efouba Ayissi,394008,0,0,Defender
Carles,Gil de Pareja Vicent,4879,8.39,473,Midfielder
Lars,Stindl,15051,57.309999999999995,2732,Forward
Nils,Petersen,14734,27.250000000000004,2248,Forward
Eder,Citadin Martins,20626,14.549999999999999,1054,Forward
Trevoh,Chalobah,346131,0,0,Defender
Guillaume,Gillet,37734,0,15,Midfielder
Riechedly,Bazoer,1729,4.640000000000001,573,Midfielder
Rob,Elliot,7974,0,0,Goalkeeper
Borja,Mayoral Moya,344120,21.01,321,Forward
Marcelo,Brozović,69968,60.06999999999999,2679,Midfielder
Dwight,McNeil,532949,0,0,Midfielder
Isaac,Hayden,134294,13.08,1351,Midfielder
Liam,Rosenior,9622,0,162,Defender
Caleb,Stanko,145030,2.07,186,Midfielder
Ervin,Zukanović,38532,26.439999999999998,2790,Defender
Ibrahima,M'baye,22377,12.319999999999999,1777,Defender
Kerem,Demirbay,221333,6.920000000000001,1211,Midfielder
Davy,Pröpper,466,29.65,3136,Midfielder
Marcel,Halstenberg,18579,11.709999999999999,1180,Defender
Kári,Árnason,62221,9.0,586,Defender
Olivier,Verdon,342194,0,0,Defender
Keagan,Dolly,244335,17.21,867,Forward
Fayçal,Fajr,25888,10.82,2414,Midfielder
Tom,Rogić,61407,2.81,226,Midfielder
José Aurelio,Carvallo Alonso,114567,0,0,Goalkeeper
Jesús,Gámez Duarte,3557,0,97,Defender
Federico,Ravaglia,471286,0,0,Goalkeeper
