Nationality,wiId,Name,homeGoals,awayGoals,gameweek0,gameweek1,gameweek2,gameweek3,gameweek4,gameweek5,gameweek6,gameweek7,gameweek8,gameweek9,gameweek10,gameweek11,gameweek12,gameweek13,gameweek14,gameweek15,gameweek16,gameweek17,gameweek18,gameweek19,gameweek20,gameweek21,gameweek22,gameweek23,gameweek24,gameweek25,gameweek26,gameweek27,gameweek28,gameweek29,gameweek30,gameweek31,gameweek32,gameweek33,gameweek34,gameweek35,gameweek36,gameweek37,gamesweekScore0,gamesweekScore1,gamesweekScore2,gamesweekScore3,gamesweekScore4,gamesweekScore5,gamesweekScore6,gamesweekScore7,gamesweekScore8,gamesweekScore9,gamesweekScore10,gamesweekScore11,gamesweekScore12,gamesweekScore13,gamesweekScore14,gamesweekScore15,gamesweekScore16,gamesweekScore17,gamesweekScore18,gamesweekScore19,gamesweekScore20,gamesweekScore21,gamesweekScore22,gamesweekScore23,gamesweekScore24,gamesweekScore25,gamesweekScore26,gamesweekScore27,gamesweekScore28,gamesweekScore29,gamesweekScore30,gamesweekScore31,gamesweekScore32,gamesweekScore33,gamesweekScore34,gamesweekScore35,gamesweekScore36,gamesweekScore37
ITA,3161,Internazionale,37,29,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,-1,-1,0,0,0,0,0,1,-1,1,0,0,1,1,-1,0,1,1,-1,1,-1,1,0.6104651162790697,0.6976744186046511,0.40697674418604657,0.34883720930232553,0.058139534883720936,0.436046511627907,0.4651162790697675,0.5523255813953488,0.17441860465116277,0.4941860465116279,0.31976744186046513,0.26162790697674415,0.5232558139534883,0.6104651162790697,0.9011627906976745,0.0,0.20348837209302328,0.0,0.29069767441860467,0.29069767441860467,0.26162790697674415,0.23255813953488375,0.058139534883720936,0.29069767441860467,0.29069767441860467,0.37790697674418605,0.0,0.029069767441860468,0.4941860465116279,0.6395348837209303,0.14534883720930233,0.058139534883720936,0.6686046511627908,0.6976744186046511,0.14534883720930233,0.6395348837209303,0.4941860465116279,0.20348837209302328
ITA,3219,Benevento,23,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,1,-1,0.37790697674418605,0.058139534883720936,0.17441860465116277,0.0,0.08720930232558138,0.0,0.26162790697674415,0.0,0.0,0.0,0.26162790697674415,0.029069767441860468,0.08720930232558138,0.0,0.029069767441860468,0.11627906976744187,0.14534883720930233,0.0,0.5813953488372093,0.4651162790697675,0.23255813953488375,0.0,0.17441860465116277,0.40697674418604657,0.4941860465116279,0.08720930232558138,0.872093023255814,0.14534883720930233,0.37790697674418605,0.31976744186046513,0.436046511627907,0.4651162790697675,0.20348837209302328,0.17441860465116277,0.23255813953488375,0.029069767441860468,0.436046511627907,0.058139534883720936
ITA,3173,Cagliari,18,15,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,0,-1,-1,1,-1,-1,0,1,0,-1,-1,-1,0,1,-1,-1,1,-1,0,-1,-1,1,1,0.0,0.31976744186046513,0.31976744186046513,0.20348837209302328,0.029069767441860468,0.0,0.11627906976744187,0.34883720930232553,0.08720930232558138,0.08720930232558138,0.11627906976744187,0.23255813953488375,0.34883720930232553,0.11627906976744187,0.26162790697674415,0.40697674418604657,0.029069767441860468,0.0,0.20348837209302328,0.0,0.0,0.0,0.29069767441860467,0.0,0.08720930232558138,0.0,0.17441860465116277,0.11627906976744187,0.17441860465116277,0.0,0.0,0.0,0.0,0.0,0.08720930232558138,0.0,0.17441860465116277,0.14534883720930233
ITA,3172,Atalanta,30,27,-1,-1,1,0,1,0,0,-1,1,1,-1,0,-1,1,0,1,0,1,-1,1,-1,1,1,0,0,-1,-1,1,1,1,0,0,1,1,1,0,0,-1,0.08720930232558138,0.14534883720930233,0.31976744186046513,0.23255813953488375,0.930232558139535,0.0,0.20348837209302328,0.43604651162790703,0.08720930232558138,0.7267441860465116,0.08720930232558138,0.29069767441860467,0.11627906976744187,0.23255813953488375,0.29069767441860467,0.6976744186046513,0.37790697674418605,0.40697674418604657,0.29069767441860467,0.34883720930232553,0.17441860465116277,0.7267441860465116,0.29069767441860467,0.20348837209302328,0.029069767441860468,0.0,0.0,0.5232558139534883,0.7558139534883721,0.6686046511627908,0.08720930232558138,0.11627906976744187,0.8430232558139534,0.6104651162790697,0.4651162790697675,0.34883720930232553,0.14534883720930233,0.17441860465116277
ITA,3176,Fiorentina,27,27,-1,-1,1,1,-1,0,-1,1,1,1,-1,-1,0,0,1,0,0,1,0,0,-1,-1,1,-1,0,1,1,1,1,1,1,0,-1,-1,1,1,-1,-1,0.14534883720930233,0.5232558139534883,0.7848837209302326,0.23255813953488375,0.0,0.0,0.14534883720930233,0.20348837209302328,0.6104651162790697,0.5232558139534884,0.08720930232558138,0.40697674418604657,0.058139534883720936,0.17441860465116277,0.7267441860465116,0.26162790697674415,0.23255813953488375,0.31976744186046513,0.2906976744186046,0.08720930232558138,0.29069767441860467,0.029069767441860468,0.29069767441860467,0.0,0.0,0.26162790697674415,0.23255813953488375,0.17441860465116277,0.17441860465116277,0.40697674418604657,0.29069767441860467,0.34883720930232553,0.11627906976744187,0.0,0.6395348837209303,0.5813953488372093,0.0,0.23255813953488375
ITA,3185,Torino,29,25,0,1,1,0,1,-1,0,0,-1,-1,1,0,0,0,0,1,-1,0,0,1,0,1,0,1,-1,-1,1,-1,-1,1,1,0,0,-1,-1,0,1,1,0.029069767441860468,0.4941860465116279,0.31976744186046513,0.26162790697674415,0.29069767441860467,0.0,0.4651162790697675,0.40697674418604657,0.08720930232558138,0.0,0.31976744186046513,0.14534883720930233,0.14534883720930233,0.058139534883720936,0.14534883720930233,0.34883720930232553,0.029069767441860468,0.14534883720930233,0.08720930232558138,0.26162790697674415,0.058139534883720936,0.436046511627907,0.29069767441860467,0.31976744186046513,0.029069767441860468,0.20348837209302328,0.40697674418604657,0.0,0.0,0.6104651162790697,0.26162790697674415,0.23255813953488375,0.17441860465116277,0.14534883720930233,0.08720930232558138,0.17441860465116277,0.5813953488372093,0.31976744186046513
ITA,3187,Napoli,43,34,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,0,1,0,1,0,1,1,-1,0,1,1,0.6976744186046511,0.6104651162790697,0.5523255813953488,1.0755813953488371,0.6104651162790697,1.0465116279069766,0.4651162790697675,0.4651162790697675,0.23255813953488375,0.5523255813953488,0.6104651162790697,0.17441860465116277,0.7267441860465116,0.08720930232558138,0.17441860465116277,0.0,0.5232558139534883,0.6686046511627908,0.37790697674418605,0.436046511627907,0.17441860465116277,0.29069767441860467,0.4941860465116279,0.6686046511627908,0.31976744186046513,0.872093023255814,0.6686046511627908,0.14534883720930233,0.20348837209302328,0.0,0.7558139534883721,0.26162790697674415,0.6976744186046511,0.26162790697674415,0.0,0.17441860465116277,0.4941860465116279,0.8139534883720931
ITA,3197,Crotone,23,17,-1,0,-1,-1,-1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,-1,-1,-1,1,-1,-1,1,-1,0,1,1,-1,0,-1,0.0,0.08720930232558138,0.058139534883720936,0.0,0.31976744186046513,0.4651162790697675,0.37790697674418605,0.31976744186046513,0.0,0.14534883720930233,0.34883720930232553,0.14534883720930233,0.14534883720930233,0.0,0.0,0.0,0.31976744186046513,0.029069767441860468,0.0,0.029069767441860468,0.29069767441860467,0.0,0.0,0.0,0.17441860465116277,0.34883720930232553,0.058139534883720936,0.34883720930232553,0.058139534883720936,0.0,0.11627906976744187,0.0,0.08720930232558138,0.23255813953488375,0.6686046511627908,0.17441860465116277,0.23255813953488375,0.17441860465116277
ITA,3194,Hellas Verona,14,16,-1,0,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.08720930232558138,0.0,0.17441860465116277,0.029069767441860468,0.17441860465116282,0.029069767441860468,0.0,0.26162790697674415,0.08720930232558138,0.08720930232558138,0.14534883720930233,0.37790697674418605,0.17441860465116277,0.436046511627907,0.17441860465116277,0.058139534883720936,0.0,0.0,0.0,0.6395348837209303,0.0,0.0,0.029069767441860468,0.26162790697674415,0.08720930232558138,0.26162790697674415,0.0,0.0,0.23255813953488375,0.0,0.0,0.08720930232558138,0.34883720930232553,0.11627906976744187,0.0,0.26162790697674415
ITA,3193,Genoa,23,10,0,-1,-1,-1,0,-1,-1,1,0,-1,-1,-1,1,0,1,-1,0,1,0,1,-1,-1,1,1,1,-1,1,-1,-1,0,0,1,-1,1,-1,-1,-1,-1,0.08720930232558138,0.0,0.0,0.17441860465116277,0.058139534883720936,0.0,0.17441860465116277,0.7848837209302326,0.08720930232558138,0.43604651162790703,0.0,0.17441860465116277,0.37790697674418605,0.17441860465116277,0.20348837209302328,0.40697674418604657,0.31976744186046513,0.17441860465116277,0.11627906976744187,0.23255813953488375,0.0,0.0,0.23255813953488375,0.11627906976744187,0.08720930232558138,0.17441860465116277,0.31976744186046513,0.14534883720930233,0.11627906976744187,0.0,0.11627906976744187,0.436046511627907,0.08720930232558138,0.37790697674418605,0.029069767441860468,0.029069767441860468,0.08720930232558138,0.029069767441860468
